,date,breed,color,name,sex,state
250,1999-04-17T00:00:00+00:00,Shepherd (pup),Black & Tan,,M,Found
251,1999-04-18T00:00:00+00:00,Malti (25 lbs),White,Ginger,F,Lost
252,1999-04-20T00:00:00+00:00,Lhaso Apso,White & Brown,Patch,M,Lost
253,1999-04-21T00:00:00+00:00,Boxer,Brindle,,F,Found
254,1999-04-21T00:00:00+00:00,Retreiver,Golden Red,Molly,F/S,Lost
255,1999-04-22T00:00:00+00:00,Shep X Rott,Black & Tan,,M/N,Lost
256,1999-04-23T00:00:00+00:00,Peki  X Shih,Black & Whtie,Kujo,M,Lost
257,1999-04-23T00:00:00+00:00,Pug,Beige  & Black,,M,Matched
258,1999-04-23T00:00:00+00:00,Shep X,Black & Tan,,F/S,Found
259,1999-04-23T00:00:00+00:00,Shep X Wolf,Grey & Brown,Lucas,M/N,Matched
260,1999-04-24T00:00:00+00:00,Pitbull,Lite Brown,Shami,F/S,Matched
261,1999-04-24T00:00:00+00:00,Pitbull  X,Black & White,Clouseau,M,Lost
262,1999-04-24T00:00:00+00:00,Pomeranian,Brown & Gold,Hooler,F,Lost
263,1999-04-24T00:00:00+00:00,Rott,Black & Tan,Xena,F,Lost
264,1999-04-24T00:00:00+00:00,Shep,Black & Tan,Dasher,M/N,Found
265,1999-04-25T00:00:00+00:00,Boxer,Fawn,Sophie,F/S,Lost
266,1999-04-25T00:00:00+00:00,Keeshound,Brown & White,Caviar,M,Matched
267,1999-04-25T00:00:00+00:00,Lab X Chesapeake,Brown & Black,Jackie Madeleine,F,Lost
268,1999-04-25T00:00:00+00:00,Lab X Rott,Black,K.C.,M/N,Lost
269,1999-04-25T00:00:00+00:00,Pom,Orange,Popeye,M/N,Lost
270,1999-04-25T00:00:00+00:00,Poodle,Apricot,,M/N,Found
271,1999-04-26T00:00:00+00:00,Lhasa Apso,White,Lindo,M/N,Matched
272,1999-04-26T00:00:00+00:00,Lhasa Apso,White,Sprinkle,M/N,Matched
273,1999-04-26T00:00:00+00:00,Pitbull,Brindle,,M,Found
274,1999-04-27T00:00:00+00:00,Lab X,White & Tan,Tasha,F,Lost
275,1999-04-27T00:00:00+00:00,Shep X,Black & Tan,,F,Found
276,1999-04-28T00:00:00+00:00,Akita,Black & Tan,,M,Found
277,1999-04-28T00:00:00+00:00,Dog,Black,,M,Found
278,1999-04-28T00:00:00+00:00,Poodle,White & Apricot,Bailey,M,Lost
279,1999-04-28T00:00:00+00:00,Siberian Husky,Black & White,Bo,M/N,Lost
280,1999-04-29T00:00:00+00:00,Border Collie,Black & White,Mitzi,F,Matched
281,1999-04-29T00:00:00+00:00,Sheltie,Black & White,Fullie,M,Lost
282,1999-04-29T00:00:00+00:00,Toy Pomeranian,Orange,Manny,M/N,Lost
283,1999-04-30T00:00:00+00:00,Chow (2 dogs same),Brown,,M,Matched
284,1999-04-30T00:00:00+00:00,Dalmation,Black & White,,M,Found
285,1999-04-30T00:00:00+00:00,Greyhound,Brown & White,,M,Matched
286,1999-04-30T00:00:00+00:00,Husky X Shep,White & Grey & Tan,Moses,M/N,Lost
287,1999-04-30T00:00:00+00:00,Rott,Black & Tan,,M,Matched
288,1999-05-02T00:00:00+00:00,Corgi X Shep X Bassett,Black & Tan,,M,Matched
289,1999-05-02T00:00:00+00:00,Irish Terrier,Rusty Red,Rusty,M/N,Lost
290,1999-05-02T00:00:00+00:00,Labx,Black & White chest,,M/N,Found
291,1999-05-03T00:00:00+00:00,Golden Retreiver,Gold,Rupert,M/N,Lost
292,1999-05-03T00:00:00+00:00,Golden Retreiver,Golden,,M/N,Lost
293,1999-05-03T00:00:00+00:00,Lab X,Black,Jay,F/S,Lost
294,1999-05-04T00:00:00+00:00,Dalmation,White & Black spots,,M/N,Matched
295,1999-05-04T00:00:00+00:00,Doberman X,Red & Brown,Cypress,M,Lost
296,1999-05-04T00:00:00+00:00,Rhodesian Ridgeback,Gold,Agano,M,Matched
297,1999-05-05T00:00:00+00:00,Husky X,Black & Tan & White,Winter,M/N,Lost
298,1999-05-05T00:00:00+00:00,Lab X,Black,,F,Matched
299,1999-05-05T00:00:00+00:00,Shep X Husky,Black & Tan,Homer,M/N,Lost
300,1999-05-07T00:00:00+00:00,Boxer,Brown & White Brindle,Coda,M,Lost
301,1999-05-07T00:00:00+00:00,Chi X Poodle,Tan & White,Shadow,M,Matched
302,1999-05-07T00:00:00+00:00,Silver Fox Sheltie,Silver & White,Chimo,M/N,Matched
303,1999-05-08T00:00:00+00:00,Boxer,Red Brindle,Tarzan,M,Matched
304,1999-05-08T00:00:00+00:00,Retriever,Golden,Billy,M,Lost
305,1999-05-08T00:00:00+00:00,Shep X Rott,Black & Tan,Dash,M,Lost
306,1999-05-08T00:00:00+00:00,Shepherd  X,Black & Tan,,F,Found
307,1999-05-10T00:00:00+00:00,Amer. Retriever,Red,Molly,F,Lost
308,1999-05-10T00:00:00+00:00,Shih Tzu X,Black & Brown & White,,M,Found
309,1999-05-10T00:00:00+00:00,Wolf X,Grey with White spots over eye,Teak,M,Lost
310,1999-05-11T00:00:00+00:00,Chihuahua,Dark Brown,,M,Found
311,1999-05-11T00:00:00+00:00,Pitbull & Chihuahua,Brown,,F,Lost
312,1999-05-12T00:00:00+00:00,German Short Haired Pointer,Dark Brown & White,Asia,F,Lost
313,1999-05-12T00:00:00+00:00,Lab X Shep,Black & Tan,Jazu,M,Lost
314,1999-05-12T00:00:00+00:00,Shep X,Black & Tan,Ramona,F/S,Lost
315,1999-05-13T00:00:00+00:00,Alaskan Husky,Black,Jordon,M,Matched
316,1999-05-13T00:00:00+00:00,Retriever,Golden,Magic,M,Matched
