,date,breed,color,sex,state,name
363,1999-06-04,shep,"['black', 'tan']",f/s,matched,unknown
364,1999-06-04,shep mix,"['black', 'tan']",f,found,unknown
365,1999-06-05,golden retriever,['yellow'],m/n,lost,unknown
366,1999-06-05,lab,['yellow'],m/n,lost,shinook
367,1999-06-06,akita,"['grey', 'black']",f,lost,askor
368,1999-06-06,rotty,"['black', 'tan']",m/n,lost,hercules
369,1999-06-06,yorkie terrier,"['black', 'gold']",m,lost,pookie
370,1999-06-08,lhasa apso,"['white', 'black', 'grey']",f,lost,petunia
371,1999-06-08,rotty (puppy),"['black', 'tan']",m,lost,happy
372,1999-06-09,border collie,"['black', 'white']",f/s,lost,mime
373,1999-06-09,golden retriever,['reddish blonde'],m/n,matched,on on
374,1999-06-09,retriever mix,['red'],m,lost,unknown
375,1999-06-09,rottweiler,"['black', 'tan']",m,lost,rex
376,1999-06-09,rotty,"['black', 'tan']",m,lost,rex
377,1999-06-09,sheltie,"['white', 'sable']",m,lost,spanky
378,1999-06-09,shep mix husky,"['black', 'tan']",m,lost,unknown
379,1999-06-09,terrier mix,"['white black', 'grey markings']",f,found,unknown
380,1999-06-10,shep mix rotty,"['black', 'tan']",m,found,unknown
381,1999-06-11,husky mix lab,"['black', 'white']",m,matched,buddy
382,1999-06-11,lab,['black'],m,lost,jackson
383,1999-06-11,pekingese,"['white', 'brown spots']",f/s,lost,sylvie
384,1999-06-11,shih tzu mix,"['white', 'cream']",f,found,unknown
385,1999-06-12,jr terrier,"['white', 'black']",m/n,matched,tango
386,1999-06-12,lab,['black'],m,lost,buster
387,1999-06-14,collie  mix,['black'],m,lost,brodie
388,1999-06-14,collie mix,['brown'],m/n,lost,rudy
389,1999-06-14,maltipoo mix,['black'],m,lost,chief
390,1999-06-15,lab,['black w white feet'],m/n,lost,lou
391,1999-06-15,lhasa apso,"['brown', 'white']",m/n,found,patch
392,1999-06-15,yorkshire terrier,"['brown', 'silver']",m,lost,bobby
393,1999-06-16,lab mix,['black'],m,lost,stanley
394,1999-06-16,pekingnese,['white'],f,lost,goldie
395,1999-06-16,sharpei,['fawn'],m,lost,oly
396,1999-06-16,shih tzu,"['tri color', ' brown', 'white']",m,lost,piko
397,1999-06-17,collie mix shep,"['black', 'tan']",f,lost,lupa
398,1999-06-18,alaskan husky,['black'],m,lost,jordon
399,1999-06-18,pomeranian,"['sable', 'white on belly']",m,lost,joey
400,1999-06-18,shepherd,"['black', 'tan']",m,lost,marky
401,1999-06-19,boxer,['tan'],f,lost,gucci
402,1999-06-20,rotty,"['black', 'tan']",f,found,unknown
403,1999-06-20,sharpei mix ridge mix pit,"['black', 'grey', 'white', 'tan']",f/s,lost,jada
404,1999-06-20,sharpei mix ridge mix pit,"['black', 'grey', 'white', 'tan']",f/s,lost,dakota
405,1999-06-22,husky mix wolf,"['black', 'tan']",f,lost,astro
406,1999-06-22,lab,['white'],f/s,matched,daisy
407,1999-06-22,lab mix rotty,['black'],m/n,lost,bear
408,1999-06-22,pitbull,"['black', 'white chest']",m,lost,tyson
409,1999-06-22,pitbull,"['brindle', 'white']",f,lost,cali
410,1999-06-22,sharpei,['tan'],m,lost,kophie
411,1999-06-22,shih tzu,"['black', 'white']",f,lost,unknown
412,1999-06-23,lhasa apso,['gold'],f/s,lost,zsa zsa
413,1999-06-23,maltese,['white'],m,lost,moppy
414,1999-06-24,rottweiler,"['black', 'tan']",f,matched,unknown
415,1999-06-25,cocker spaniel,['gold'],m/n,lost,bosley
416,1999-06-25,lab mix ? pit bull ?,"['brown', 'white']",f,lost,zero
417,1999-06-25,mastif mix,['brindle'],m,matched,leto
418,1999-06-25,rottweiler,"['black', 'tan']",m,lost,bull
419,1999-06-25,shepherd mix,"['black', 'tan', 'white']",f/s,matched,cheema
420,1999-06-25,spaniel,['black'],m,found,unknown
421,1999-06-26,cocker mix poodle,['gold'],m,matched,unknown
422,1999-06-26,flat coated retriever,['black'],f/s,matched,raven
